Operation,Dimension,Category,N_Points,Slope,Intercept,RÂ²,RMSE,Correlation,P_Value,Significance
binary,1D,binary_1D,64,1.2196137748969777e-05,0.8700536294642858,0.6418529874185598,0.021541775896665186,0.8011572800758662,1.872693534998019e-15,*** (p < 0.001)
binary,2D,binary_2D,64,8.715237396383171e-06,1.2097172257025766,0.9562381357059492,0.4734119750356542,0.9778742944294778,7.715610993018927e-44,*** (p < 0.001)
elu,1D,elu_1D,64,1.5243194826007325e-05,0.8872249032738095,0.7252115213491954,0.02218652126726836,0.8515935188510982,4.78827804510662e-19,*** (p < 0.001)
elu,2D,elu_2D,64,1.0976380698853966e-05,1.2000120985070262,0.9972748756994142,0.14569344779423188,0.9986365082948925,3.17353239192135e-81,*** (p < 0.001)
leaky,1D,leaky_1D,64,1.4208453883356228e-05,0.879130644345238,0.7583322098822987,0.01896586939929444,0.8708227201229298,8.743958240098937e-21,*** (p < 0.001)
leaky,2D,leaky_2D,64,1.0404322967410181e-05,1.27911568691452,0.9899298193669293,0.2664559314063823,0.9949521693865134,1.2597285773736338e-63,*** (p < 0.001)
linear,1D,linear_1D,64,1.4068409097412997e-05,0.877689011904762,0.7224235420349012,0.020619904908945403,0.8499550235364819,6.55976163462938e-19,*** (p < 0.001)
linear,2D,linear_2D,64,1.1131699779708034e-05,1.124353048887588,0.9867663709393323,0.32733235391657206,0.993361148293677,6.009559615584819e-60,*** (p < 0.001)
parametric,1D,parametric_1D,64,1.3519360262133689e-05,0.8792881175595239,0.7245354806428668,0.019710854230591362,0.8511964994305763,5.169576892962374e-19,*** (p < 0.001)
parametric,2D,parametric_2D,64,1.0537145815632658e-05,1.229130987997658,0.9949835082408207,0.18998103114649598,0.9974886005568289,5.2174002573431456e-73,*** (p < 0.001)
relu,1D,relu_1D,64,1.2909822501717028e-05,0.8814750446428571,0.7212026791709615,0.018979387949735416,0.8492365272236951,7.521852927089595e-19,*** (p < 0.001)
relu,2D,relu_2D,64,1.0883588490621389e-05,1.216916357435598,0.9851622449971642,0.3391544118925795,0.9925533965470897,2.0871379324723317e-58,*** (p < 0.001)
selu,1D,selu_1D,64,1.3885337611607138e-05,0.8933397142857143,0.7056068150868419,0.02120729297220352,0.8400040565895155,4.1085069261979984e-18,*** (p < 0.001)
selu,2D,selu_2D,64,1.1356826278960491e-05,1.1979269013466038,0.9971421405777521,0.15438106002072943,0.9985700479073821,1.3863147633173416e-80,*** (p < 0.001)
sigmoid,1D,sigmoid_1D,64,1.6331427784455124e-05,0.8979383541666667,0.7367711043985369,0.02308186746132108,0.8583537175305627,1.2539338101015984e-19,*** (p < 0.001)
sigmoid,2D,sigmoid_2D,64,1.3571208051551977e-05,1.2765422524882917,0.9957300955258952,0.22565861139785207,0.9978627638738178,3.530661868611122e-75,*** (p < 0.001)
tanh,1D,tanh_1D,64,1.567772310697116e-05,0.8816326875,0.7358222283359006,0.022212169260758315,0.8578008092418079,1.4027714672040286e-19,*** (p < 0.001)
tanh,2D,tanh_2D,64,1.2180629590263032e-05,0.9328702495608923,0.9998754986578338,0.03451269951459358,0.999937747391223,9.003561373842601e-123,*** (p < 0.001)
