Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1024, 1024), (1024, 1024)]",47.92281068,matmul_linear_1,43.8285446,9.341551533061851
matmul,linear,"[(1024, 1675), (1675, 1024)]",61.57360844,matmul_linear_2,54.58884820000001,12.795214536144018
matmul,linear,"[(1024, 2326), (2326, 1024)]",72.94927324,matmul_linear_3,73.0859912,-0.18706452188062903
matmul,linear,"[(1024, 2977), (2977, 1024)]",84.32493804,matmul_linear_4,90.8824196,-7.2153465861289625
matmul,linear,"[(1024, 3628), (3628, 1024)]",95.70060283999999,matmul_linear_5,110.1787053,-13.140563251835577
matmul,linear,"[(1024, 1024), (1024, 2001)]",60.57034924,matmul_linear_6,80.59914289999999,-24.84988417910334
matmul,linear,"[(1024, 1675), (1675, 2001)]",83.70680092,matmul_linear_7,141.7922947,-40.965197652591485
matmul,linear,"[(1024, 2326), (2326, 2001)]",102.98717732,matmul_linear_8,190.934875,-46.06162058136315
matmul,linear,"[(1024, 2977), (2977, 2001)]",122.26755372,matmul_linear_9,233.09416090000005,-47.545853037282164
matmul,linear,"[(1024, 3628), (3628, 2001)]",141.54793012,matmul_linear_10,282.56270539999997,-49.90565725238841
matmul,linear,"[(1024, 1024), (1024, 2978)]",73.2178878,matmul_linear_11,76.66697330000001,-4.498789180712328
matmul,linear,"[(1024, 1675), (1675, 2978)]",105.8399934,matmul_linear_12,205.9942857,-48.61993717916031
matmul,linear,"[(1024, 2326), (2326, 2978)]",133.0250814,matmul_linear_13,285.14900900000004,-53.348923825297256
matmul,linear,"[(1024, 2977), (2977, 2978)]",160.21016939999998,matmul_linear_14,346.73501780000004,-53.79463821781892
matmul,linear,"[(1024, 3628), (3628, 2978)]",187.3952574,matmul_linear_15,407.2538305,-53.98563663110837
matmul,linear,"[(1024, 1024), (1024, 3955)]",85.86542636,matmul_linear_16,98.5837143,-12.901003000654843
matmul,linear,"[(1024, 1675), (1675, 3955)]",127.97318587999999,matmul_linear_17,285.2948304,-55.14353144759963
matmul,linear,"[(1024, 2326), (2326, 3955)]",163.06298547999998,matmul_linear_18,379.7545714,-57.06095521671975
matmul,linear,"[(1024, 2977), (2977, 3955)]",198.15278508,matmul_linear_19,462.654866,-57.17049583998107
matmul,linear,"[(1024, 3628), (3628, 3955)]",233.24258468,matmul_linear_20,570.0032855,-59.080484163279436
matmul,linear,"[(1789, 1024), (1024, 1024)]",57.825949879999996,matmul_linear_21,49.391848,17.075898597679505
matmul,linear,"[(1789, 1675), (1675, 1024)]",78.90410204,matmul_linear_22,87.16086609999999,-9.473017455479365
matmul,linear,"[(1789, 2326), (2326, 1024)]",96.46922884,matmul_linear_23,110.088607,-12.37128757565258
matmul,linear,"[(1789, 2977), (2977, 1024)]",114.03435564,matmul_linear_24,93.1671517,22.397597822022924
matmul,linear,"[(1789, 3628), (3628, 1024)]",131.59948244,matmul_linear_25,112.38614270000001,17.095826298876965
matmul,linear,"[(1789, 1024), (1024, 2001)]",83.70680092,matmul_linear_26,139.2652319,-39.893970822447606
matmul,linear,"[(1789, 1675), (1675, 2001)]",124.19559136000001,matmul_linear_27,246.54973210000003,-49.62655594789835
matmul,linear,"[(1789, 2326), (2326, 2001)]",157.93625006,matmul_linear_28,332.2760266,-52.46835840789485
matmul,linear,"[(1789, 2977), (2977, 2001)]",191.67690876,matmul_linear_29,406.18285720000006,-52.8101924139993
matmul,linear,"[(1789, 3628), (3628, 2001)]",225.41756746,matmul_linear_30,493.19485699999996,-54.294420499198345
matmul,linear,"[(1789, 1024), (1024, 2978)]",105.8399934,matmul_linear_31,209.8601698,-49.566421536365304
matmul,linear,"[(1789, 1675), (1675, 2978)]",162.9286782,matmul_linear_32,358.9035802,-54.603774610103486
matmul,linear,"[(1789, 2326), (2326, 2978)]",210.5025822,matmul_linear_33,497.1430356999999,-57.65754177696509
matmul,linear,"[(1789, 2977), (2977, 2978)]",258.07648620000003,matmul_linear_34,605.3932679000001,-57.37044002897146
matmul,linear,"[(1789, 3628), (3628, 2978)]",305.6503902,matmul_linear_35,710.7964106000001,-56.99888383763878
matmul,linear,"[(1789, 1024), (1024, 3955)]",127.97318587999999,matmul_linear_36,273.046607,-53.13137662245333
matmul,linear,"[(1789, 1675), (1675, 3955)]",201.66176504,matmul_linear_37,497.492857,-59.46438984952099
matmul,linear,"[(1789, 2326), (2326, 3955)]",263.06891434,matmul_linear_38,662.8121609000001,-60.31018592314425
matmul,linear,"[(1789, 2977), (2977, 3955)]",324.47606364,matmul_linear_39,807.7892856000001,-59.831596008482634
matmul,linear,"[(1789, 3628), (3628, 3955)]",385.88321294,matmul_linear_40,936.2635983,-58.784768131468645
matmul,linear,"[(2554, 1024), (1024, 1024)]",67.72908908,matmul_linear_41,70.18,-3.4923210601311085
matmul,linear,"[(2554, 1675), (1675, 1024)]",96.23459564000001,matmul_linear_42,91.7087054,4.9350715619195835
matmul,linear,"[(2554, 2326), (2326, 1024)]",119.98918444,matmul_linear_43,142.4594374,-15.773088375259867
matmul,linear,"[(2554, 2977), (2977, 1024)]",143.74377324,matmul_linear_44,155.2334196,-7.401528865115586
matmul,linear,"[(2554, 3628), (3628, 1024)]",167.49836204,matmul_linear_45,186.0741519,-9.98300391017395
matmul,linear,"[(2554, 1024), (1024, 2001)]",105.73643116,matmul_linear_46,212.52755349999998,-50.24813045711741
matmul,linear,"[(2554, 1675), (1675, 2001)]",162.74744428,matmul_linear_47,170.1612679,-4.3569395735561605
matmul,linear,"[(2554, 2326), (2326, 2001)]",210.25662187999998,matmul_linear_48,207.8121428,1.1762927069918934
matmul,linear,"[(2554, 2977), (2977, 2001)]",257.76579948,matmul_linear_49,238.79572350000004,7.944060179117889
matmul,linear,"[(2554, 3628), (3628, 2001)]",305.27497708,matmul_linear_50,286.22914299999997,6.654051324186798
matmul,linear,"[(2554, 1024), (1024, 2978)]",138.462099,matmul_linear_51,186.6061428,-25.799817239456917
matmul,linear,"[(2554, 1675), (1675, 2978)]",220.017363,matmul_linear_52,511.7116696,-57.003645593623965
matmul,linear,"[(2554, 2326), (2326, 2978)]",287.980083,matmul_linear_53,709.0771697,-59.38663726518792
matmul,linear,"[(2554, 2977), (2977, 2978)]",355.94280299999997,matmul_linear_54,864.0764376,-58.80656068013583
matmul,linear,"[(2554, 3628), (3628, 2978)]",423.905523,matmul_linear_55,580.6157323,-26.990348449433494
matmul,linear,"[(2554, 1024), (1024, 3955)]",170.0809454,matmul_linear_56,240.610884,-29.312862921030625
matmul,linear,"[(2554, 1675), (1675, 3955)]",275.3503442,matmul_linear_57,420.45669620000007,-34.511604479472204
matmul,linear,"[(2554, 2326), (2326, 3955)]",363.0748432,matmul_linear_58,945.6548751999999,-61.60598832388908
matmul,linear,"[(2554, 2977), (2977, 3955)]",450.7993422,matmul_linear_59,1152.8709734,-60.89767609722006
matmul,linear,"[(2554, 3628), (3628, 3955)]",538.5238412,matmul_linear_60,1336.191982,-59.69712073904662
matmul,linear,"[(3319, 1024), (1024, 1024)]",77.63222827999999,matmul_linear_61,87.1454377,-10.916474426061674
matmul,linear,"[(3319, 1675), (1675, 1024)]",113.56508923999999,matmul_linear_62,136.3762767,-16.72665364679223
matmul,linear,"[(3319, 2326), (2326, 1024)]",143.50914004,matmul_linear_63,181.408875,-20.89188578011963
matmul,linear,"[(3319, 2977), (2977, 1024)]",173.45319084,matmul_linear_64,150.5534283,15.21038929407095
matmul,linear,"[(3319, 3628), (3628, 1024)]",203.39724164,matmul_linear_65,182.32708050000002,11.556243363420707
matmul,linear,"[(3319, 1024), (1024, 2001)]",125.54270955999999,matmul_linear_66,274.9648571999999,-54.34227092203111
matmul,linear,"[(3319, 1675), (1675, 2001)]",197.40843148,matmul_linear_67,204.6125803,-3.520872865899732
matmul,linear,"[(3319, 2326), (2326, 2001)]",257.29653308,matmul_linear_68,274.8099999,-6.372936511179687
matmul,linear,"[(3319, 2977), (2977, 2001)]",317.18463468,matmul_linear_69,332.27428560000004,-4.5413237117498
matmul,linear,"[(3319, 3628), (3628, 2001)]",377.07273628,matmul_linear_70,344.6284106,9.41429222956815
matmul,linear,"[(3319, 1024), (1024, 2978)]",171.0842046,matmul_linear_71,394.27370519999994,-56.6077569100847
matmul,linear,"[(3319, 1675), (1675, 2978)]",277.1060478,matmul_linear_72,362.1680267,-23.486882504528936
matmul,linear,"[(3319, 2326), (2326, 2978)]",365.4575838,matmul_linear_73,409.3806429,-10.72914898683403
matmul,linear,"[(3319, 2977), (2977, 2978)]",453.8091198,matmul_linear_74,454.26630349999994,-0.10064222163903391
matmul,linear,"[(3319, 3628), (3628, 2978)]",542.1606558000001,matmul_linear_75,576.8711073000001,-6.017020277278147
matmul,linear,"[(3319, 1024), (1024, 3955)]",212.18870492,matmul_linear_76,241.78916069999997,-12.242259203970999
matmul,linear,"[(3319, 1675), (1675, 3955)]",349.03892336,matmul_linear_77,592.9968662000001,-41.139836775751256
matmul,linear,"[(3319, 2326), (2326, 3955)]",463.08077206,matmul_linear_78,1144.1277411,-59.525430996474235
matmul,linear,"[(3319, 2977), (2977, 3955)]",577.12262076,matmul_linear_79,1415.1170088,-59.21732145319968
matmul,linear,"[(3319, 3628), (3628, 3955)]",691.1644694600001,matmul_linear_80,1335.9163035,-48.26289134662095
matmul,linear,"[(4084, 1024), (1024, 1024)]",87.53536747999999,matmul_linear_81,107.32499099999998,-18.438970584213696
matmul,linear,"[(4084, 1675), (1675, 1024)]",130.89558284,matmul_linear_82,143.5921608,-8.842110801357887
matmul,linear,"[(4084, 2326), (2326, 1024)]",167.02909563999998,matmul_linear_83,220.23942849999997,-24.16022109319994
matmul,linear,"[(4084, 2977), (2977, 1024)]",203.16260843999999,matmul_linear_84,245.2733123,-17.168889458504697
matmul,linear,"[(4084, 3628), (3628, 1024)]",239.29612124,matmul_linear_85,294.29713380000004,-18.688939253271126
matmul,linear,"[(4084, 1024), (1024, 2001)]",145.34898796,matmul_linear_86,337.15287490000003,-56.88929302379204
matmul,linear,"[(4084, 1675), (1675, 2001)]",232.06941867999998,matmul_linear_87,282.3948394,-17.820942063575128
matmul,linear,"[(4084, 2326), (2326, 2001)]",304.33644427999997,matmul_linear_88,327.91716959999997,-7.191061495427106
matmul,linear,"[(4084, 2977), (2977, 2001)]",376.60346988,matmul_linear_89,397.28428600000007,-5.205545965137943
matmul,linear,"[(4084, 3628), (3628, 2001)]",448.87049548,matmul_linear_90,405.7530177,10.626532865833077
matmul,linear,"[(4084, 1024), (1024, 2978)]",203.16260843999999,matmul_linear_91,483.40469629999996,-57.972562121341554
matmul,linear,"[(4084, 1675), (1675, 2978)]",333.24325452,matmul_linear_92,336.6444285,-1.0103164324313214
matmul,linear,"[(4084, 2326), (2326, 2978)]",441.64379292,matmul_linear_93,522.5549642,-15.483762823662017
matmul,linear,"[(4084, 2977), (2977, 2978)]",550.0443313200001,matmul_linear_94,543.8915625000001,1.1312491761627586
matmul,linear,"[(4084, 3628), (3628, 2978)]",658.44486972,matmul_linear_95,695.6421250999999,-5.34718270183145
matmul,linear,"[(4084, 1024), (1024, 3955)]",253.74952636,matmul_linear_96,660.1019911,-61.55904242355798
matmul,linear,"[(4084, 1675), (1675, 3955)]",421.77036088,matmul_linear_97,558.8618841,-24.53048367053594
matmul,linear,"[(4084, 2326), (2326, 3955)]",561.78772298,matmul_linear_98,648.6470176999999,-13.39084160565314
matmul,linear,"[(4084, 2977), (2977, 3955)]",701.80508508,matmul_linear_99,788.1962589999999,-10.960617096762942
matmul,linear,"[(4084, 3628), (3628, 3955)]",841.82244718,matmul_linear_100,804.5962949,4.6266870126001205
